RCDTS,School Name,ambitious_instruction,collaborative_teachers,involved_families,supportive_environment,Year
1.50163E+14,Mann Elem School,64.0,61.0,69.0,48.0,2021
1.50163E+14,Marine Leadership Academy - Ames,73.0,88.0,94.0,86.0,2021
1.50163E+14,Marquette Elem School,,52.0,48.0,,2021
1.50163E+14,Marsh Elem School,49.0,47.0,52.0,53.0,2021
1.50163E+14,Marshall Metropolitan High School,77.0,47.0,58.0,73.0,2021
1.50163E+14,Mason Elem School,84.0,43.0,60.0,77.0,2021
1.50163E+14,Mather High School,,69.0,58.0,,2021
1.50163E+14,Mayer Elem School,65.0,30.0,66.0,61.0,2021
1.50163E+14,Mays Elem Academy,72.0,93.0,84.0,73.0,2021
1.50163E+14,McAuliffe Elem School,,37.0,52.0,,2021
1.50163E+14,McClellan Elem School,61.0,36.0,55.0,71.0,2021
1.50163E+14,McCormick Elem School,,63.0,80.0,,2021
1.50163E+14,McCutcheon Elem School,,61.0,76.0,,2021
1.50163E+14,McDade Elem Classical School,61.0,49.0,58.0,52.0,2021
1.50163E+14,McDowell Elem School,90.0,79.0,70.0,98.0,2021
1.50163E+14,McKay Elem School,51.0,58.0,65.0,49.0,2021
1.50163E+14,McNair Elem School,,38.0,51.0,,2021
1.50163E+14,McPherson Elem School,48.0,45.0,68.0,58.0,2021
1.50163E+14,Melody Elem School,76.0,70.0,68.0,70.0,2021
1.50163E+14,Metcalfe Elem Community Academy,,,,,2021
1.50163E+14,Mireles Elem Academy,60.0,71.0,61.0,43.0,2021
1.50163E+14,Mitchell Elem School,61.0,76.0,88.0,59.0,2021
1.50163E+14,Mollison Elem School,66.0,,,59.0,2021
1.50163E+14,Monroe Elem School,47.0,35.0,49.0,62.0,2021
15016299025233,Montessori of Englewood Chtr ES,75.0,32.0,33.0,65.0,2021
1.50163E+14,Moos Elem School,55.0,56.0,59.0,66.0,2021
1.50163E+14,Morgan Park High School,55.0,52.0,59.0,69.0,2021
1.50163E+14,Morrill Elem Math & Sci School,,43.0,52.0,,2021
1.50163E+14,Morton Elem Career Academy,73.0,,,68.0,2021
1.50163E+14,Mount Greenwood Elem School,80.0,75.0,88.0,80.0,2021
1.50163E+14,Mount Vernon Elem School,81.0,66.0,49.0,49.0,2021
15016299025244,Moving Everest Charter School,,44.0,25.0,,2021
1.50163E+14,Mozart Elem School,48.0,46.0,66.0,58.0,2021
1.50163E+14,Multicultural Arts High School,52.0,64.0,69.0,74.0,2021
1.50163E+14,Murphy Elem School,55.0,59.0,68.0,65.0,2021
1.50163E+14,Murray Elem Language Academy,,39.0,67.0,,2021
15016299025218,Namaste Elem Charter School,37.0,32.0,62.0,52.0,2021
1.50163E+14,Nash Elem School,61.0,19.0,25.0,53.0,2021
1.50163E+14,National Teachers Elem Academy,65.0,42.0,62.0,55.0,2021
1.50163E+14,Neil Elem School,,60.0,64.0,,2021
1.50163E+14,Nettelhorst Elem School,62.0,49.0,80.0,75.0,2021
1.50163E+14,New Field Elem School,59.0,23.0,57.0,92.0,2021
1.50163E+14,Newberry Elem Math & Science Acad,73.0,80.0,85.0,66.0,2021
1.50163E+14,Nicholson Technology Acad Elem Sch,73.0,73.0,64.0,60.0,2021
1.50163E+14,Nightingale Elem School,52.0,37.0,52.0,67.0,2021
1.50163E+14,Ninos Heroes Elem Academic Ctr,,45.0,56.0,,2021
1.50163E+14,Nixon Elem School,,46.0,50.0,,2021
1.50163E+14,Nobel Elem School,49.0,78.0,76.0,50.0,2021
15016299025044,Noble St Chtr - Mansueto,57.0,64.0,71.0,82.0,2021
15016299025029,Noble St Chtr Rauner College Prep,,78.0,88.0,,2021
15016299025040,Noble St Chtr-Baker Campus,79.0,65.0,75.0,88.0,2021
15016299025039,Noble St Chtr-Butler College Prep - Crimson,73.0,49.0,51.0,74.0,2021
15016299025034,Noble St Chtr-Chicago Bulls Prep,67.0,61.0,66.0,85.0,2021
15016299025032,Noble St Chtr-Comer College Prep,,,,,2021
15016299025038,Noble St Chtr-DRW Trading College Prep,80.0,49.0,61.0,84.0,2021
15016299025031,Noble St Chtr-Golder College Prep,,59.0,60.0,,2021
15016299025037,Noble St Chtr-Hansberry College Prep - Silver,62.0,63.0,77.0,80.0,2021
15016299025042,Noble St Chtr-ITW Speer Acad,64.0,55.0,72.0,89.0,2021
15016299025036,Noble St Chtr-Johnson College Prep,70.0,52.0,72.0,73.0,2021
15016299025035,Noble St Chtr-Muchin College Prep,68.0,72.0,90.0,88.0,2021
15016299025041,Noble St Chtr-Noble Campus,74.0,81.0,93.0,89.0,2021
15016299025028,Noble St Chtr-Pritzker College Prep,56.0,60.0,66.0,90.0,2021
15016299025030,Noble St Chtr-Rowe-Clark MS Acad,75.0,77.0,91.0,89.0,2021
15016299025043,Noble St Chtr-The Noble Academy,45.0,60.0,73.0,86.0,2021
15016299025033,Noble St Chtr-UIC College Prep,67.0,58.0,74.0,83.0,2021
15016299025084,North Lawndale Prep Chtr - Christiana,73.0,69.0,68.0,83.0,2021
15016299025046,North Lawndale Prep Chtr-Collins,82.0,67.0,55.0,88.0,2021
1.50163E+14,North River Elem School,81.0,66.0,83.0,74.0,2021
1.50163E+14,North-Grand High School,60.0,76.0,77.0,75.0,2021
1.50163E+14,Northside College Preparatory Hs,84.0,64.0,87.0,96.0,2021
1.50163E+14,Northwest Middle School,,64.0,58.0,,2021
1.50163E+14,Norwood Park Elem School,42.0,45.0,75.0,58.0,2021
1.50163E+14,Ogden Elem School,62.0,51.0,63.0,61.0,2021
1.50163E+14,Ogden Int High School,73.0,73.0,83.0,83.0,2021
1.50163E+14,Oglesby Elem School,69.0,30.0,35.0,71.0,2021
1.50163E+14,OKeeffe Elem School,81.0,78.0,70.0,72.0,2021
1.50163E+14,Onahan Elem School,61.0,69.0,90.0,62.0,2021
1.50163E+14,Oriole Park Elem School,46.0,66.0,75.0,61.0,2021
1.50163E+14,Orozco Elem Fine Arts & Sciences,68.0,57.0,74.0,75.0,2021
1.50163E+14,Orr Academy High School,57.0,62.0,59.0,54.0,2021
1.50163E+14,Ortiz De Dominguez Elem School,,55.0,84.0,,2021
1.50163E+14,Otis Elem School,46.0,58.0,66.0,62.0,2021
1.50163E+14,OToole Elem School,56.0,69.0,60.0,56.0,2021
1.50163E+14,Owen Elem Scholastic Academy,62.0,57.0,73.0,45.0,2021
1.50163E+14,Owens Community Academy ES,87.0,51.0,47.0,88.0,2021
1.50163E+14,Palmer Elem School,47.0,35.0,62.0,63.0,2021
1.50163E+14,Park Manor Elem School,61.0,59.0,57.0,56.0,2021
1.50163E+14,Parker Elem Community Academy,72.0,73.0,74.0,72.0,2021
1.50163E+14,Parkside Elem Community Academy,62.0,,,55.0,2021
1.50163E+14,Pasteur Elem School,97.0,77.0,89.0,91.0,2021
1.50163E+14,Payton College Preparatory HS,73.0,37.0,83.0,94.0,2021
1.50163E+14,Peck Elem School,99.0,69.0,90.0,99.0,2021
1.50163E+14,Peirce Elem Intl Studies School,62.0,43.0,75.0,67.0,2021
1.50163E+14,Penn Elem School,79.0,37.0,54.0,73.0,2021
1.50163E+14,Perez Elem School,,61.0,70.0,,2021
1.50163E+14,Pershing Elem Humanities Magnet,65.0,56.0,67.0,65.0,2021
15016299025053,Perspectives Chtr -  IIT Campus,72.0,48.0,44.0,66.0,2021
15016299025052,Perspectives Chtr - High School of Technology,70.0,65.0,75.0,72.0,2021
15016299025050,Perspectives Chtr - Joslin Campus,70.0,26.0,41.0,64.0,2021
15016299025051,Perspectives Chtr - Leadership Acad,68.0,66.0,61.0,75.0,2021
1.50163E+14,Peterson Elem School,56.0,38.0,57.0,61.0,2021
1.50163E+14,Phillips Academy High School,,34.0,44.0,,2021
1.50163E+14,Phoenix Military Academy HS,66.0,60.0,79.0,83.0,2021
1.50163E+14,Piccolo Elem Specialty School,,54.0,57.0,,2021
1.50163E+14,Pickard Elem School,64.0,82.0,94.0,69.0,2021
1.50163E+14,Pilsen Elem Community Academy,39.0,62.0,74.0,49.0,2021
1.50163E+14,Pirie Elem Fine Arts & Academic C,49.0,42.0,32.0,47.0,2021
1.50163E+14,Plamondon Elem School,70.0,44.0,58.0,70.0,2021
1.50163E+14,Plato Learning Acad  Elem School,57.0,62.0,50.0,68.0,2021
1.50163E+14,Poe Elem Classical School,73.0,61.0,95.0,74.0,2021
15016299025226,Polaris Elem Charter Academy,99.0,95.0,91.0,99.0,2021
1.50163E+14,Portage Park Elem School,66.0,58.0,73.0,68.0,2021
1.50163E+14,Powell Elem Paideia Comm Academy,59.0,46.0,46.0,56.0,2021
1.50163E+14,Prescott Elem School,70.0,44.0,57.0,61.0,2021
1.50163E+14,Prieto Math-Science Elem Sch,65.0,61.0,84.0,73.0,2021
1.50163E+14,Pritzker Elem School,46.0,,,50.0,2021
1.50163E+14,Prosser Career Academy HS,68.0,73.0,63.0,80.0,2021
15016299025224,Providence-Englewood Elem Charter,51.0,56.0,49.0,52.0,2021
1.50163E+14,Prussing Elem School,48.0,31.0,49.0,54.0,2021
1.50163E+14,Pulaski Intl Sch of Chicago,61.0,39.0,73.0,63.0,2021
1.50163E+14,Pullman Elem School,52.0,43.0,39.0,46.0,2021
1.50163E+14,Raby High School,,69.0,53.0,,2021
1.50163E+14,Randolph Elem School,59.0,66.0,50.0,59.0,2021
1.50163E+14,Ravenswood Elem School,,70.0,74.0,,2021
1.50163E+14,Ray Elem School,64.0,60.0,73.0,55.0,2021
1.50163E+14,Reavis Elem Math & Sci Spec Schl,63.0,54.0,46.0,52.0,2021
1.50163E+14,Reilly Elem School,56.0,34.0,59.0,65.0,2021
1.50163E+14,Reinberg Elem School,45.0,34.0,50.0,62.0,2021
1.50163E+14,Revere Elem School,,32.0,,,2021
1.50163E+14,Richards Career Academy HS,49.0,63.0,61.0,74.0,2021
1.50163E+14,Richardson Middle School,59.0,73.0,69.0,73.0,2021
1.50163E+14,Rickover Naval Academy High Schl,,50.0,68.0,,2021
1.50163E+14,Robinson Elem School,,57.0,62.0,,2021
1.50163E+14,Rogers Elem School,61.0,73.0,79.0,68.0,2021
1.50163E+14,Roosevelt High School,53.0,60.0,59.0,65.0,2021
15016299025230,Rowe Elementary,50.0,42.0,48.0,62.0,2021
1.50163E+14,Ruggles Elem School,60.0,42.0,52.0,57.0,2021
1.50163E+14,Ruiz Elem School,55.0,75.0,78.0,60.0,2021
1.50163E+14,Ryder Elem Math & Sci Spec School,98.0,75.0,76.0,93.0,2021
1.50163E+14,Sabin Elem Magnet School,49.0,36.0,63.0,43.0,2021
1.50163E+14,Salazar Elem Bilingual Center,48.0,67.0,74.0,57.0,2021
1.50163E+14,Sandoval Elem School,84.0,51.0,85.0,86.0,2021
1.50163E+14,Saucedo Elem Scholastic Academy,,25.0,58.0,,2021
1.50163E+14,Sauganash Elem School,63.0,55.0,84.0,68.0,2021
1.50163E+14,Sawyer Elem School,50.0,42.0,49.0,57.0,2021
1.50163E+14,Sayre Elem Language Academy,51.0,48.0,62.0,57.0,2021
1.50163E+14,Scammon Elem School,57.0,52.0,76.0,55.0,2021
1.50163E+14,Schmid Elem School,59.0,72.0,60.0,72.0,2021
1.50163E+14,School of Social Justice HS,59.0,63.0,52.0,74.0,2021
1.50163E+14,Schubert Elem School,64.0,46.0,71.0,78.0,2021
1.50163E+14,Schurz High School,51.0,51.0,60.0,68.0,2021
1.50163E+14,Senn High School,,55.0,58.0,,2021
1.50163E+14,Seward Elem Communication Arts Ac,45.0,44.0,40.0,71.0,2021
1.50163E+14,Sheridan Elem Math & Science Acad,39.0,50.0,71.0,52.0,2021
1.50163E+14,Sherman Elem School,97.0,83.0,80.0,90.0,2021
1.50163E+14,Sherwood Elem School,98.0,57.0,74.0,83.0,2021
1.50163E+14,Shields Elem School,,49.0,63.0,,2021
1.50163E+14,Shields Middle School,75.0,85.0,64.0,83.0,2021
1.50163E+14,Shoesmith Elem School,,65.0,50.0,,2021
1.50163E+14,Shoop Math-Sci Tech Elem Academy,50.0,45.0,43.0,53.0,2021
1.50163E+14,Simeon Career Academy High School,77.0,,,75.0,2021
1.50163E+14,Skinner Elem School,37.0,,,43.0,2021
1.50163E+14,Skinner North Elem Sch,,,,,2021
1.50163E+14,Smith  W Elem School,,,,,2021
1.50163E+14,Smyser Elem School,60.0,43.0,61.0,62.0,2021
1.50163E+14,Smyth  J Elem School,,67.0,66.0,,2021
1.50163E+14,Solomon Elem School,53.0,39.0,61.0,67.0,2021
1.50163E+14,Solorio Academy High School,54.0,74.0,73.0,75.0,2021
1.50163E+14,Sor Juana Ines de la Cruz,74.0,26.0,54.0,90.0,2021
1.50163E+14,South Loop Elem School,,53.0,71.0,,2021
1.50163E+14,South Shore Fine Arts Elem Sch,,,,,2021
1.50163E+14,South Shore Intl Col Prep HS,,38.0,57.0,,2021
1.50163E+14,Southeast Area Elementary School,49.0,53.0,62.0,59.0,2021
1.50163E+14,Spencer Technology Acad Elem Sch,65.0,44.0,44.0,57.0,2021
1.50163E+14,Spry Community Links High School,,70.0,44.0,,2021
1.50163E+14,Spry Elem Community School,43.0,27.0,54.0,56.0,2021
1.50163E+14,Stagg Elem School,62.0,72.0,59.0,70.0,2021
1.50163E+14,Steinmetz College Prep HS,60.0,75.0,74.0,63.0,2021
1.50163E+14,STEM Magnet Academy Elem,,72.0,80.0,,2021
1.50163E+14,Stevenson Elem School,76.0,90.0,93.0,83.0,2021
1.50163E+14,Stock Early Childhood Center,,93.0,99.0,,2021
1.50163E+14,Stone Elem Scholastic Academy,66.0,45.0,74.0,71.0,2021
1.50163E+14,Stowe Elem School,41.0,25.0,38.0,54.0,2021
1.50163E+14,Suder Montessori Elem Magnet Schl,60.0,43.0,75.0,64.0,2021
1.50163E+14,Sullivan Elem School,57.0,51.0,59.0,49.0,2021
1.50163E+14,Sullivan High School,56.0,55.0,67.0,75.0,2021
1.50163E+14,Sumner Elem Math & Sci Comm Acad,67.0,51.0,60.0,54.0,2021
1.50163E+14,Sutherland Elem School,54.0,25.0,66.0,60.0,2021
1.50163E+14,Swift Elem Specialty School,61.0,42.0,75.0,65.0,2021
1.50163E+14,Taft High School,55.0,57.0,63.0,68.0,2021
1.50163E+14,Talcott Elem School,68.0,49.0,69.0,70.0,2021
1.50163E+14,Talman Elem School,,73.0,85.0,,2021
1.50163E+14,Tanner Elem School,65.0,78.0,56.0,43.0,2021
1.50163E+14,Tarkington Elem School,,42.0,46.0,,2021
1.50163E+14,Taylor Elem School,55.0,41.0,44.0,59.0,2021
1.50163E+14,Telpochcalli Elem School,,,,,2021
1.50163E+14,Thomas Early Childhood Center,,35.0,96.0,,2021
1.50163E+14,Thomas Kelly College Preparatory,,52.0,53.0,,2021
1.50163E+14,Thorp  J N Elem School,58.0,38.0,50.0,60.0,2021
1.50163E+14,Thorp  O A Elem Scholastic Acad,41.0,,,56.0,2021
1.50163E+14,Tilden Career Communty Academy HS,49.0,69.0,44.0,65.0,2021
1.50163E+14,Till Elem Math & Science Academy,77.0,51.0,46.0,83.0,2021
1.50163E+14,Tilton Elem School,90.0,74.0,57.0,79.0,2021
1.50163E+14,Tonti Elem School,,,,,2021
1.50163E+14,Turner-Drew Elem Language Academy,65.0,75.0,85.0,59.0,2021
1.50163E+14,Twain Elem School,54.0,52.0,51.0,60.0,2021
15016299025281,Univ of Chicago Chtr-Donoghue,73.0,65.0,63.0,60.0,2021
15016299025258,Univ of Chicago Chtr-Nth Kenwood,78.0,61.0,62.0,86.0,2021
15016299025107,Univ of Chicago Chtr-Woodlawn,84.0,71.0,72.0,76.0,2021
1.50163E+14,Uplift Community High School,,,,,2021
15016299025013,Urban Prep Chtr Acad Bronzeville HS,78.0,53.0,73.0,84.0,2021
15016299025010,Urban Prep Chtr Acad Englewood HS,92.0,89.0,75.0,92.0,2021
15016906025001,Urban Prep West Charter School,,,,,2021
1.50163E+14,Vanderpoel Elem Magnet School,68.0,,,64.0,2021
1.50163E+14,Vick Early Childhood & Family Ctr,,47.0,71.0,,2021
1.50163E+14,Volta Elem School,66.0,53.0,76.0,68.0,2021
1.50163E+14,Von Steuben Metro Science HS,72.0,68.0,76.0,81.0,2021
1.50163E+14,Wacker Elem School,75.0,51.0,68.0,54.0,2021
1.50163E+14,Wadsworth Elem School,61.0,47.0,58.0,54.0,2021
1.50163E+14,Walsh Elem School,46.0,55.0,65.0,64.0,2021
1.50163E+14,Walter Henri Dyett High School for the Arts,,43.0,64.0,,2021
1.50163E+14,Ward  J Elem School,59.0,61.0,71.0,61.0,2021
1.50163E+14,Ward  L Elem School,80.0,59.0,69.0,65.0,2021
1.50163E+14,Warren Elem School,74.0,73.0,85.0,61.0,2021
1.50163E+14,Washington  G Elem School,62.0,38.0,62.0,74.0,2021
1.50163E+14,Washington  H Elem School,99.0,81.0,83.0,93.0,2021
1.50163E+14,Washington G High School,57.0,49.0,63.0,72.0,2021
1.50163E+14,Waters Elem School,55.0,81.0,95.0,57.0,2021
1.50163E+14,Webster Elem School,74.0,63.0,58.0,52.0,2021
1.50163E+14,Wells Community Academy HS,57.0,62.0,61.0,67.0,2021
1.50163E+14,Wells Preparatory Elem Academy,83.0,54.0,59.0,80.0,2021
1.50163E+14,Wentworth Elem School,,41.0,35.0,,2021
1.50163E+14,West Park Elem Academy,80.0,88.0,95.0,78.0,2021
1.50163E+14,West Ridge Elem School,,47.0,55.0,,2021
1.50163E+14,Westcott Elem School,57.0,61.0,65.0,55.0,2021
1.50163E+14,Westinghouse High School,77.0,71.0,80.0,92.0,2021
1.50163E+14,Whistler Elem School,,,,,2021
1.50163E+14,White Elem Career Academy,68.0,57.0,60.0,70.0,2021
1.50163E+14,Whitney Elem School,49.0,48.0,61.0,55.0,2021
1.50163E+14,Whittier Elem School,53.0,56.0,77.0,49.0,2021
1.50163E+14,Wildwood Elem School,,56.0,85.0,,2021
1.50163E+14,Williams Medical Prep High Sch,67.0,76.0,63.0,74.0,2021
1.50163E+14,Woodlawn Elem Community School,63.0,73.0,85.0,76.0,2021
1.50163E+14,Woodson South Elem School,,68.0,72.0,,2021
1.50163E+14,World Language High School,,41.0,33.0,,2021
1.50163E+14,Yates Elem School,65.0,63.0,64.0,71.0,2021
15016299025073,YCCS Chtr - Chatham,99.0,70.0,,99.0,2021
15016299025071,YCCS West,,,,,2021
15016299025055,YCCS- McKinley-Lakeside Leadership Academy,88.0,,,85.0,2021
15016299025062,YCCS-Albizu Campos Puerto Rican HS,84.0,92.0,50.0,72.0,2021
15016299025056,YCCS-ASPIRA Pantoja Alt HS,40.0,63.0,24.0,69.0,2021
15016299025057,YCCS-Association House,38.0,92.0,50.0,87.0,2021
15016299025058,YCCS-Austin Career Ed Cntr HS,81.0,,,86.0,2021
15016299025059,YCCS-CCA Academy HS,62.0,73.0,,82.0,2021
15016299025061,YCCS-Community Youth Dev Inst HS,86.0,,,91.0,2021
15016299025063,YCCS-Innovations of Arts Integr HS,,94.0,63.0,,2021
15016299025064,YCCS-Jane Addams Alternative HS,93.0,91.0,87.0,89.0,2021
15016299025065,YCCS-Latino Youth Alternative HS,,31.0,31.0,,2021
15016299025066,YCCS-Olive Harvey Mid College HS,,78.0,,,2021
15016299025060,YCCS-Progressive Leadership Academy,84.0,85.0,,85.0,2021
15016299025054,YCCS-Scholastic Achievement HS,79.0,,,97.0,2021
15016299025067,YCCS-Sullivan House Alt HS,96.0,68.0,53.0,80.0,2021
15016299025068,YCCS-Truman Middle College HS,60.0,52.0,65.0,76.0,2021
15016299025070,YCCS-West Town Academy Alt HS,56.0,75.0,28.0,73.0,2021
15016299025072,YCCS-Youth Connection Leadership Academy,,,,,2021
1.50163E+14,Young Elem School,68.0,50.0,66.0,61.0,2021
1.50163E+14,Young Magnet High School,,58.0,94.0,,2021
1.50163E+14,Zapata Elem Academy,52.0,66.0,71.0,64.0,2021
70161100020000,,,,,,2021
150162990250000,,,,,,2021
1.50169E+14,Horizon Science Acad-McKinley Park Charter Sch,,,,,2021
1.50169E+14,Horizon Science Acad-Belmont Charter Sch,,,,,2021
1.50169E+14,ACE Amandla Charter School,,,,,2021
1.50169E+14,Bronzeville Academy Chtr School,,,,,2021
1.50169E+14,Betty Shabazz  International Charter School,,,,,2021
1.50169E+14,Intrinsic 2 Charter High School,,,,,2021
1.50169E+14,Urban Prep West Charter School,,,,,2021
6.01054E+14,IDJJ Sch Dist 428,,,,,2021
150162990250001,Amundsen High School,64.0,62.0,79.0,61.0,2022
150162990250003,Bogan High School,59.0,52.0,54.0,41.0,2022
150162990250006,Carver Military Academy HS,61.0,58.0,59.0,47.0,2022
150162990250011,Farragut Career Academy HS,42.0,34.0,27.0,45.0,2022
150162990250012,Fenger Academy High School,62.0,56.0,47.0,45.0,2022
150162990250013,Foreman High School,43.0,33.0,37.0,41.0,2022
150162990250014,Back of The Yards IB HS,72.0,52.0,53.0,65.0,2022
150162990250015,Gage Park High School,66.0,40.0,40.0,52.0,2022
150162990250016,Harlan Community Academy HS,38.0,25.0,11.0,16.0,2022
150162990250019,Hirsch Metropolitan High School,41.0,64.0,61.0,44.0,2022
150162990250020,Hubbard High School,46.0,59.0,56.0,48.0,2022
150162990250021,Hyde Park Academy High School,70.0,64.0,60.0,48.0,2022
150162990250022,Thomas Kelly College Preparatory,45.0,34.0,39.0,46.0,2022
150162990250023,Kelvyn Park High School,42.0,51.0,33.0,41.0,2022
150162990250024,Kennedy High School,51.0,35.0,47.0,50.0,2022
150162990250025,Kenwood Academy High School,91.0,62.0,83.0,79.0,2022
150162990250026,Lake View High School,62.0,42.0,44.0,54.0,2022
150162990250027,Lane Technical High School,73.0,52.0,66.0,70.0,2022
150162990250029,Marshall Metropolitan High School,67.0,22.0,50.0,53.0,2022
150162990250030,Mather High School,56.0,51.0,42.0,52.0,2022
150162990250031,Morgan Park High School,45.0,32.0,39.0,40.0,2022
150162990250034,Phillips Academy High School,55.0,7.0,15.0,33.0,2022
150162990250035,Roosevelt High School,60.0,61.0,58.0,52.0,2022
150162990250036,Schurz High School,49.0,43.0,52.0,48.0,2022
150162990250037,Senn High School,55.0,41.0,49.0,51.0,2022
150162990250039,King College Prep High School,55.0,33.0,60.0,52.0,2022
150162990250041,Steinmetz College Prep HS,48.0,43.0,44.0,46.0,2022
150162990250042,Sullivan High School,53.0,32.0,50.0,59.0,2022
150162990250043,Taft High School,,,,,2022
150162990250044,Tilden Career Communty Academy HS,68.0,52.0,34.0,53.0,2022
150162990250046,Von Steuben Metro Science HS,66.0,46.0,56.0,59.0,2022
150162990250047,Lincoln Park High School,,,,,2022
150162990250048,Washington G High School,58.0,38.0,44.0,51.0,2022
150162990250049,Wells Community Academy HS,51.0,39.0,37.0,53.0,2022
150162990250052,Crane Medical Prep HS,44.0,40.0,28.0,44.0,2022
150162990250053,Disney II Magnet HS,62.0,53.0,62.0,51.0,2022
15016299025010,Urban Prep Chtr Acad Englewood HS,90.0,61.0,63.0,69.0,2022
15016299025012,IHSCA Charter High School,51.0,23.0,44.0,48.0,2022
15016299025013,Urban Prep Chtr Acad Bronzeville HS,86.0,36.0,54.0,71.0,2022
15016299025015,EPIC Academy High School,40.0,26.0,29.0,42.0,2022
15016299025019,Legal Prep Academy Charter HS,63.0,23.0,63.0,42.0,2022
15016299025020,IJLA Charter High School,,,,,2022
15016299025022,Intrinsic Charter High School,61.0,46.0,84.0,61.0,2022
15016299025028,Noble St Chtr-Pritzker College Prep,60.0,47.0,60.0,67.0,2022
15016299025029,Noble St Chtr Rauner College Prep,,,,,2022
15016299025030,Noble St Chtr-Rowe-Clark MS Acad,,,,,2022
15016299025031,Noble St Chtr-Golder College Prep,,48.0,50.0,,2022
15016299025032,Noble St Chtr-Comer College Prep,66.0,39.0,67.0,49.0,2022
15016299025033,Noble St Chtr-UIC College Prep,,25.0,50.0,,2022
15016299025034,Noble St Chtr-Chicago Bulls Prep,64.0,31.0,56.0,57.0,2022
15016299025035,Noble St Chtr-Muchin College Prep,66.0,42.0,64.0,54.0,2022
15016299025036,Noble St Chtr-Johnson College Prep,77.0,27.0,56.0,57.0,2022
15016299025037,Noble St Chtr-Hansberry College Prep - Silver,51.0,36.0,44.0,48.0,2022
15016299025038,Noble St Chtr-DRW Trading College Prep,,8.0,48.0,,2022
15016299025039,Noble St Chtr-Butler College Prep - Crimson,78.0,22.0,27.0,51.0,2022
15016299025040,Noble St Chtr-Baker Campus,51.0,49.0,65.0,60.0,2022
15016299025041,Noble St Chtr-Noble Campus,86.0,49.0,82.0,69.0,2022
15016299025042,Noble St Chtr-ITW Speer Acad,64.0,36.0,60.0,66.0,2022
15016299025043,Noble St Chtr-The Noble Academy,57.0,37.0,61.0,60.0,2022
15016299025044,Noble St Chtr - Mansueto,64.0,39.0,59.0,63.0,2022
15016299025046,North Lawndale Prep Chtr-Collins,77.0,80.0,89.0,55.0,2022
15016299025049,Acero Chtr Sch Network- Sor Juana Ines de la Cruz K-12,24.0,24.0,31.0,27.0,2022
15016299025050,Perspectives Chtr - Joslin Campus,54.0,14.0,30.0,44.0,2022
15016299025051,Perspectives Chtr - Leadership Acad,60.0,64.0,66.0,48.0,2022
150162990250526,Chicago Vocational Career Acad HS,63.0,50.0,51.0,48.0,2022
15016299025052,Perspectives Chtr - High School of Technology,70.0,67.0,85.0,57.0,2022
150162990250531,Dunbar Vocational Career Acad HS,69.0,48.0,57.0,45.0,2022
150162990250533,Jones College Prep High School,87.0,24.0,62.0,73.0,2022
150162990250534,Prosser Career Academy HS,58.0,58.0,54.0,56.0,2022
150162990250536,Richards Career Academy HS,47.0,37.0,42.0,53.0,2022
150162990250537,Simeon Career Academy High School,61.0,27.0,34.0,34.0,2022
15016299025053,Perspectives Chtr -  IIT Campus,73.0,40.0,42.0,46.0,2022
150162990250543,Corliss High School,68.0,56.0,58.0,51.0,2022
150162990250545,Clemente Community Academy HS,54.0,21.0,29.0,39.0,2022
15016299025054,YCCS-Scholastic Achievement HS,74.0,,,76.0,2022
15016299025055,YCCS- McKinley-Lakeside Leadership Academy,69.0,37.0,,69.0,2022
15016299025056,YCCS-ASPIRA Pantoja Alt HS,52.0,58.0,,66.0,2022
15016299025057,YCCS-Association House,58.0,83.0,26.0,68.0,2022
15016299025058,YCCS-Austin Career Ed Cntr HS,93.0,,,79.0,2022
15016299025059,YCCS-CCA Academy HS,70.0,77.0,,65.0,2022
15016299025060,YCCS-Progressive Leadership Academy,81.0,44.0,,87.0,2022
150162990250616,Manley Career Academy High School,39.0,,,32.0,2022
150162990250617,Curie Metropolitan High School,46.0,28.0,33.0,45.0,2022
15016299025061,YCCS-Community Youth Dev Inst HS,68.0,,,65.0,2022
15016299025062,YCCS-Albizu Campos Puerto Rican HS,58.0,67.0,48.0,63.0,2022
15016299025063,YCCS-Innovations of Arts Integr HS,58.0,,,70.0,2022
15016299025064,YCCS-Jane Addams Alternative HS,91.0,99.0,81.0,82.0,2022
15016299025065,YCCS-Latino Youth Alternative HS,76.0,49.0,48.0,77.0,2022
15016299025066,YCCS-Olive Harvey Mid College HS,65.0,66.0,68.0,68.0,2022
15016299025067,YCCS-Sullivan House Alt HS,92.0,62.0,61.0,85.0,2022
15016299025068,YCCS-Truman Middle College HS,59.0,,,72.0,2022
15016299025070,YCCS-West Town Academy Alt HS,75.0,56.0,20.0,62.0,2022
15016299025071,YCCS West,70.0,,,64.0,2022
15016299025072,YCCS-Youth Connection Leadership Academy,59.0,66.0,,59.0,2022
15016299025073,YCCS Chtr - Chatham,87.0,,,51.0,2022
15016299025074,ASPIRA Charter - Early College Prep HS,59.0,65.0,76.0,60.0,2022
150162990250763,Julian High School,75.0,71.0,59.0,59.0,2022
150162990250764,Young Magnet High School,87.0,62.0,96.0,82.0,2022
150162990250767,Juarez Community Academy HS,,36.0,53.0,,2022
150162990250772,Chicago HS for Agricult Sciences,61.0,70.0,78.0,58.0,2022
