RCDTS,School Name,ambitious_instruction,collaborative_teachers,involved_families,supportive_environment,Year
1.50163E+14,Burbank Elem School,61.0,65.0,77.0,62.0,2021
1.50163E+14,Burke Elem School,,,,,2021
1.50163E+14,Burley Elem School,62.0,53.0,80.0,67.0,2021
1.50163E+14,Burnham Elem Inclusive Academy,,,,,2021
1.50163E+14,Burnside Elem Scholastic Academy,49.0,49.0,46.0,60.0,2021
1.50163E+14,Burr Elem School,65.0,67.0,84.0,71.0,2021
1.50163E+14,Burroughs Elem School,60.0,60.0,64.0,64.0,2021
1.50163E+14,Byrne Elem School,,54.0,72.0,,2021
1.50163E+14,Caldwell Elem Acad of Math & Sci,98.0,66.0,58.0,94.0,2021
1.50163E+14,Calmeca Acad Elem School,60.0,69.0,75.0,67.0,2021
1.50163E+14,Cameron Elem School,58.0,59.0,63.0,57.0,2021
1.50163E+14,Camras Elem School,,56.0,61.0,,2021
1.50163E+14,Canty Elem School,58.0,58.0,72.0,60.0,2021
1.50163E+14,Cardenas Elem School,,59.0,61.0,,2021
1.50163E+14,Carnegie Elem School,56.0,53.0,68.0,52.0,2021
1.50163E+14,Carroll Elem School,82.0,42.0,42.0,71.0,2021
1.50163E+14,Carson Elem School,47.0,29.0,52.0,54.0,2021
1.50163E+14,Carter Elem School,58.0,45.0,36.0,56.0,2021
1.50163E+14,Carver Military Academy HS,68.0,67.0,68.0,71.0,2021
1.50163E+14,Carver Primary School,59.0,34.0,33.0,48.0,2021
1.50163E+14,Casals Elem School,,50.0,53.0,,2021
1.50163E+14,Cassell Elem School,,53.0,76.0,,2021
15016299025232,Catalyst Charter - Maria ES,,,,,2021
15016299025228,Catalyst Charter-Circle Rock ES,73.0,68.0,62.0,63.0,2021
1.50163E+14,Cather Elem School,57.0,66.0,79.0,42.0,2021
1.50163E+14,Chalmers Elem Specialty School,,,,,2021
1.50163E+14,Chappell Elem School,47.0,64.0,80.0,54.0,2021
70161100022002,Charles J Sahs Elem School,33.0,17.0,35.0,46.0,2021
1.50163E+14,Chase Elem School,50.0,44.0,63.0,60.0,2021
1.50163E+14,Chavez Elem Multicultural Acad Ct,49.0,61.0,64.0,62.0,2021
1.50163E+14,Chicago Academy Elem School,57.0,55.0,71.0,69.0,2021
1.50163E+14,Chicago Academy High School,81.0,60.0,73.0,80.0,2021
15016299025236,Chicago Collegiate Charter School,64.0,88.0,74.0,47.0,2021
1.50163E+14,Chicago Excel Academy HS,,39.0,44.0,,2021
1.50163E+14,Chicago HS for Agricult Sciences,56.0,84.0,94.0,74.0,2021
1.50163E+14,Chicago HS for the Arts,63.0,43.0,59.0,80.0,2021
15016299025217,Chicago Math & Sci Elem Charter,63.0,54.0,54.0,78.0,2021
1.50163E+14,Chicago Military Academy HS,71.0,51.0,68.0,79.0,2021
1.50163E+14,Chicago Technology Academy HS,,35.0,41.0,,2021
1.50163E+14,Chicago Vocational Career Acad HS,61.0,61.0,67.0,65.0,2021
1.50163E+14,Chicago World Language Academy,47.0,45.0,64.0,49.0,2021
1.50163E+14,Chopin Elem School,36.0,41.0,48.0,45.0,2021
1.50163E+14,Christopher Elem School,50.0,48.0,61.0,63.0,2021
15016299025235,Christopher House Chrt ES,65.0,59.0,77.0,78.0,2021
15016299025252,CICS - Avalon/South Shore,60.0,58.0,61.0,40.0,2021
15016299025277,CICS - Basil Campus,61.0,,,53.0,2021
15016299025280,CICS - Bond Campus,83.0,74.0,59.0,71.0,2021
15016299025246,CICS - Bucktown Campus,65.0,95.0,80.0,62.0,2021
15016299025254,CICS - Irving Park Campus,52.0,90.0,81.0,59.0,2021
15016299025247,CICS - Longwood Campus,,61.0,39.0,,2021
15016299025255,CICS - Loomis Primary Campus,,42.0,37.0,,2021
15016299025082,CICS - Northtown  Campus,84.0,92.0,91.0,90.0,2021
15016299025248,CICS - Prairie Campus,49.0,72.0,53.0,53.0,2021
15016299025027,CICS - Quest North Campus,,77.0,,,2021
15016299025083,CICS - Ralph Ellison Campus,92.0,91.0,94.0,76.0,2021
15016299025249,CICS - Washington Pk Campus,,37.0,29.0,,2021
15016299025251,CICS - West Belden Campus,59.0,87.0,78.0,68.0,2021
15016299025278,CICS - Wrightwood,74.0,76.0,81.0,51.0,2021
1.50163E+14,Claremont Academy Elem School,89.0,62.0,63.0,94.0,2021
1.50163E+14,Clark  G R Elem School,72.0,96.0,99.0,75.0,2021
1.50163E+14,Clark Acad Prep Magnet High Schl,,70.0,67.0,,2021
1.50163E+14,Clay Elem School,,46.0,58.0,,2021
1.50163E+14,Clemente Community Academy HS,,50.0,47.0,,2021
1.50163E+14,Cleveland Elem School,57.0,54.0,68.0,66.0,2021
1.50163E+14,Clinton Elem School,63.0,61.0,74.0,69.0,2021
1.50163E+14,Clissold Elem School,64.0,61.0,76.0,57.0,2021
1.50163E+14,Colemon J Elem Academy,,51.0,83.0,,2021
1.50163E+14,Coles Elem Language Academy,46.0,50.0,27.0,36.0,2021
1.50163E+14,Collins Academy High School,83.0,73.0,61.0,83.0,2021
1.50163E+14,Columbia Explorers Elem Academy,64.0,61.0,71.0,69.0,2021
1.50163E+14,Columbus Elem School,66.0,73.0,86.0,71.0,2021
1.50163E+14,Cook Elem School,51.0,35.0,49.0,62.0,2021
1.50163E+14,Coonley Elem School,54.0,58.0,76.0,61.0,2021
1.50163E+14,Cooper Elem Dual Language Academy,,33.0,50.0,,2021
1.50163E+14,Corkery Elem School,53.0,70.0,70.0,54.0,2021
1.50163E+14,Corliss High School,59.0,57.0,47.0,65.0,2021
1.50163E+14,Courtenay Elem Language Arts Ctr,,34.0,65.0,,2021
1.50163E+14,Crane Medical Prep HS,,48.0,46.0,,2021
1.50163E+14,Crown Elem Comm Acd Fine Arts Ctr,58.0,21.0,47.0,34.0,2021
1.50163E+14,Cuffe Math-Sci Tech Elem Academy,81.0,51.0,51.0,86.0,2021
1.50163E+14,Cullen Elem School,75.0,54.0,,63.0,2021
1.50163E+14,Curie Metropolitan High School,52.0,51.0,58.0,65.0,2021
1.50163E+14,Curtis Elem School,64.0,58.0,47.0,56.0,2021
1.50163E+14,Daley Elem Academy,45.0,54.0,59.0,55.0,2021
1.50163E+14,Darwin Elem School,59.0,60.0,68.0,62.0,2021
1.50163E+14,Davis M Magnet Elem School,67.0,43.0,51.0,57.0,2021
