RCDTS,School ID,Network,School Name,2020 CA,2021 CA,2022 CA,2023 CA,2024 CA,,,,,,,
150162990252850,610212,Network 1,Albany Park Multicultural Elem,2.3%,14.6%,22.4%,28.1%,20.6%,,,,,,,
150162990252355,610074,Network 4,Logan Square Elementary,2.3%,19.5%,45.9%,37.8%,41.4%,,,,,,,
150162990252265,609994,Network 1,Hibbard Elem School,2.4%,12.6%,25.9%,21.4%,26.4%,,,,,,,
15016299025246C,400025,Charter,CICS - Bucktown Campus,2.4%,20.3%,51.5%,39.8%,42.3%,,,,,,,
150162990252826,609895,ISP,Turner-Drew Elem Language Academy,2.4%,24.3%,26.0%,26.1%,31.6%,,,,,,,
150162990252959,610534,Network 4,Skinner North Elem Sch,2.5%,1.3%,11.6%,13.2%,11.7%,,,,,,,
150162990252141,609866,Network 2,Coonley Elem School,2.5%,2.9%,12.5%,12.4%,13.8%,,,,,,,
150162990252285,610011,Network 2,Jamieson Elem School,2.5%,7.1%,20.7%,23.0%,25.1%,,,,,,,
15016299025251C,400030,Charter,CICS - West Belden Campus,2.5%,7.6%,29.1%,26.1%,18.6%,,,,,,,
15016299025268C,400120,Charter,Acero Chtr Sch Newtwork - Roberto Clemente Elem School,2.5%,14.4%,30.0%,27.6%,29.8%,,,,,,,
150162990252972,610590,Network 9,Bronzeville Classical Elementary School,2.6%,2.7%,13.0%,6.8%,8.3%,,,,,,,
150162990252458,610177,Network 6,Skinner Elem School,2.6%,7.5%,10.9%,13.8%,23.6%,,,,,,,
150162990252958,610533,Network 3,Prieto Math-Science Elem Sch,2.6%,21.8%,40.6%,31.0%,30.7%,,,,,,,
150162990252126,609849,ISP,Cassell Elem School,2.7%,8.9%,26.4%,23.4%,19.9%,,,,,,,
150162990252923,609922,Network 3,Belmont-Cragin Elem School,2.7%,11.1%,33.0%,34.0%,24.9%,,,,,,,
150162990252886,610148,ISP,Chavez Elem Multicultural Acad Ct,2.7%,19.2%,34.8%,24.0%,14.3%,,,,,,,
150162990252953,610523,Network 1,Edison Park Elem School,2.8%,3.8%,17.4%,19.9%,19.9%,,,,,,,
150162990252306,610033,Network 4,LaSalle Elem Language Academy,2.8%,5.5%,30.5%,22.1%,23.5%,,,,,,,
150162990252376,610099,Network 1,Norwood Park Elem School,2.8%,6.4%,16.3%,18.2%,17.0%,,,,,,,
150162990252373,610096,Network 8,Nightingale Elem School,2.8%,18.7%,32.9%,27.3%,28.0%,,,,,,,
150162990252416,610141,Network 2,Ravenswood Elem School,2.9%,6.4%,19.0%,22.8%,18.4%,,,,,,,
150162990252207,609926,Network 4,Franklin Elem Fine Arts Center,2.9%,11.0%,26.9%,17.2%,19.5%,,,,,,,
150162990252129,609852,Network 2,Chappell Elem School,3.0%,2.6%,17.2%,21.5%,15.2%,,,,,,,
150162990252384,610105,Network 1,Oriole Park Elem School,3.0%,8.3%,21.9%,23.3%,20.1%,,,,,,,
150162990252399,610122,ISP,Peirce Elem Intl Studies School,3.1%,11.2%,20.7%,18.7%,20.7%,,,,,,,
150162990252935,610354,Network 1,North River Elem School,3.1%,15.6%,28.7%,21.2%,32.5%,,,,,,,
150162990252406,610131,ISP,Plamondon Elem School,3.1%,26.4%,35.9%,38.9%,30.4%,,,,,,,
150162990252314,610038,Network 4,Lincoln Elem School,3.2%,4.4%,13.9%,14.3%,15.3%,,,,,,,
150162990252182,609899,Network 1,Ebinger Elem School,3.2%,6.4%,17.2%,18.7%,16.9%,,,,,,,
